# WS-3 advertised-client RVA-safety baseline (allowlist). Maintained by audit-advertised-rva-safety.ps1.
# Each row grandfathers a hardcoded RVA / memory site so CI fails only on NEW ones. Columns:
#   Key (file|RVA|symbol)  <TAB>  Class  <TAB>  Bound  <TAB>  Reason
# A new site must be EITHER guarded on isAdvertisedClient() (so it can't fire on advertised)
# OR added here with a Reason. -UpdateBaseline PRESERVES existing Reasons; only new keys get
# the grandfathered default. Bound is a best-effort leaf-name heuristic (may false-positive on
# shared leaf names, e.g. objectTemplate::createObject vs worldsnapshot::createObject) -- it is
# INFORMATIONAL ONLY; the ratchet gates purely on new-vs-baseline keys, never on Bound/Class.
appearance\appearance.cpp|0x007A85A0|ctor	CALL	BOUND	grandfathered pre-WS-3 inventory (CALL)
appearance\appearance.cpp|0x007A8A50|render	CALL	BOUND	grandfathered pre-WS-3 inventory (CALL)
appearance\appearance.cpp|0x00B262A0|createAppearance	CALL		grandfathered pre-WS-3 inventory (CALL)
appearance\appearance.cpp|0x00B2C410|collide	CALL		grandfathered pre-WS-3 inventory (CALL)
appearance\appearance.cpp|0x01922F8C|	DATA		grandfathered pre-WS-3 inventory (DATA)
appearance\appearance.cpp|0x0194596C|	DATA		grandfathered pre-WS-3 inventory (DATA)
appearance\appearance.cpp|0x01945A0C|	OTHER		grandfathered pre-WS-3 inventory (OTHER)
appearance\appearance.cpp|0x01945AD4|	DATA		grandfathered pre-WS-3 inventory (DATA)
appearance\extent.cpp|0x0125FA10|intersect	CALL	BOUND	grandfathered pre-WS-3 inventory (CALL)
appearance\extent.cpp|0x0126AF70|intersect	CALL	BOUND	grandfathered pre-WS-3 inventory (CALL)
appearance\extent.cpp|0x0126AFB0|intersect3	CALL		grandfathered pre-WS-3 inventory (CALL)
appearance\portal.cpp|0x00B22C00|getParentCell	CALL	BOUND	grandfathered pre-WS-3 inventory (CALL)
appearance\portal.cpp|0x00B2A990|setPortalTransitions	CALL		grandfathered pre-WS-3 inventory (CALL)
appearance\portal.cpp|0x00B47BD0|getCrc	CALL		grandfathered pre-WS-3 inventory (CALL)
appearance\portal.cpp|0x00B47BE0|getCellCount	CALL		grandfathered pre-WS-3 inventory (CALL)
appearance\portal.cpp|0x00B47C90|getExteriorAppearanceName	CALL		grandfathered pre-WS-3 inventory (CALL)
appearance\portal.cpp|0x00B497E0|getPobByCrcString	CALL		grandfathered pre-WS-3 inventory (CALL)
appearance\skeleton.cpp|0x007C8B60|render	CALL	BOUND	grandfathered pre-WS-3 inventory (CALL)
appearance\skeleton.cpp|0x007CA130|getDisplayLodSkeleton	CALL	BOUND	grandfathered pre-WS-3 inventory (CALL)
appearance\skeleton.cpp|0x007E6C50|addShaderPrimitives	CALL		grandfathered pre-WS-3 inventory (CALL)
camera\camera.cpp|0x00767DF0|getViewportInt	CALL		grandfathered pre-WS-3 inventory (CALL)
camera\camera.cpp|0x00767E40|getViewportFloat	CALL		grandfathered pre-WS-3 inventory (CALL)
camera\camera.cpp|0x00767E90|setViewport	CALL	BOUND	grandfathered pre-WS-3 inventory (CALL)
camera\camera.cpp|0x00767EC0|setNearPlane	CALL	BOUND	grandfathered pre-WS-3 inventory (CALL)
camera\camera.cpp|0x00767EE0|setFarPlane	CALL	BOUND	grandfathered pre-WS-3 inventory (CALL)
camera\camera.cpp|0x00767F00|setHorizontalFieldOfView	CALL	BOUND	grandfathered pre-WS-3 inventory (CALL)
camera\camera.cpp|0x007682B0|reverseProjectInViewportSpaceInt	CALL	BOUND	grandfathered pre-WS-3 inventory (CALL)
camera\camera.cpp|0x00768390|reverseProjectInViewportSpaceFloat	CALL		grandfathered pre-WS-3 inventory (CALL)
camera\camera.cpp|0x00778FE0|addExcludedObject	CALL		grandfathered pre-WS-3 inventory (CALL)
camera\camera.cpp|0x00779130|clearExcludedObjects	CALL		grandfathered pre-WS-3 inventory (CALL)
camera\camera.cpp|0x00788740|alter	CALL		grandfathered pre-WS-3 inventory (CALL)
camera\debug_camera.cpp|0x0051AA8D|	DATA		grandfathered pre-WS-3 inventory (DATA)
camera\debug_camera.cpp|0x006DA1B0|alter	CALL		grandfathered pre-WS-3 inventory (CALL)
client\client.cpp|0x00401050|clientMain	CALL	BOUND	grandfathered pre-WS-3 inventory (CALL)
client\client.cpp|0x00A8A170|writeMiniDump	CALL	BOUND	grandfathered pre-WS-3 inventory (CALL)
client\client.cpp|0x00A9F640|writeCrashLog	CALL		grandfathered pre-WS-3 inventory (CALL)
client\client.cpp|0x00A9F766|start_MidCrashLogWrite	OTHER		grandfathered pre-WS-3 inventory (OTHER)
client\client.cpp|0x00A9F76B|return_MidCrashLogWrite	OTHER		grandfathered pre-WS-3 inventory (OTHER)
client\client.cpp|0x00A9F970|setupStartDataInstall	CALL		grandfathered pre-WS-3 inventory (CALL)
client\client.cpp|0x00AA0970|wndProc	CALL		grandfathered pre-WS-3 inventory (CALL)
client\client.cpp|0x0193C268|	OTHER		grandfathered pre-WS-3 inventory (OTHER)
game\game.cpp|0x00422E80|install	CALL	BOUND	grandfathered pre-WS-3 inventory (CALL)
game\game.cpp|0x00423700|cleanupScene	CALL	BOUND	grandfathered pre-WS-3 inventory (CALL)
game\game.cpp|0x00423720|quit	CALL	BOUND	grandfathered pre-WS-3 inventory (CALL)
game\game.cpp|0x004237C0|mainLoop	CALL	BOUND	grandfathered pre-WS-3 inventory (CALL)
game\game.cpp|0x00424220|setupScene	CALL	BOUND	grandfathered pre-WS-3 inventory (CALL)
game\game.cpp|0x00425140|getPlayer	CALL	BOUND	grandfathered pre-WS-3 inventory (CALL)
game\game.cpp|0x004251D0|getPlayerCreatureObject	CALL	BOUND	grandfathered pre-WS-3 inventory (CALL)
game\game.cpp|0x00425BB0|getCamera	CALL	BOUND	grandfathered pre-WS-3 inventory (CALL)
game\game.cpp|0x00425BE0|getConstCamera	CALL	BOUND	grandfathered pre-WS-3 inventory (CALL)
game\game.cpp|0x00425C10|isViewFirstPerson	CALL	BOUND	grandfathered pre-WS-3 inventory (CALL)
game\game.cpp|0x00426170|isHudSceneTypeSpace	CALL	BOUND	grandfathered pre-WS-3 inventory (CALL)
game\game.cpp|0x01908830|	DATA		grandfathered pre-WS-3 inventory (DATA)
game\game.cpp|0x01908858|	DATA		grandfathered pre-WS-3 inventory (DATA)
game\game.cpp|0x01919410|	DATA		grandfathered pre-WS-3 inventory (DATA)
graphics\graphics.cpp|0x007548A0|install	CALL	BOUND	grandfathered pre-WS-3 inventory (CALL)
graphics\graphics.cpp|0x00754E40|resize	CALL	BOUND	grandfathered pre-WS-3 inventory (CALL)
graphics\graphics.cpp|0x00755520|flushResources	CALL	BOUND	grandfathered pre-WS-3 inventory (CALL)
graphics\graphics.cpp|0x00755700|update	CALL	BOUND	grandfathered pre-WS-3 inventory (CALL)
graphics\graphics.cpp|0x00755730|beginScene	CALL	BOUND	grandfathered pre-WS-3 inventory (CALL)
graphics\graphics.cpp|0x00755740|endScene	CALL	BOUND	grandfathered pre-WS-3 inventory (CALL)
graphics\graphics.cpp|0x00755800|present	CALL	BOUND	grandfathered pre-WS-3 inventory (CALL)
graphics\graphics.cpp|0x00755810|presentWindow	CALL	BOUND	grandfathered pre-WS-3 inventory (CALL)
graphics\graphics.cpp|0x00755890|screenshot	CALL	BOUND	grandfathered pre-WS-3 inventory (CALL)
graphics\graphics.cpp|0x00755910|setStaticShader	CALL	BOUND	grandfathered pre-WS-3 inventory (CALL)
graphics\graphics.cpp|0x00755940|useHardwareCursor	CALL	BOUND	grandfathered pre-WS-3 inventory (CALL)
graphics\graphics.cpp|0x00755A50|showMouseCursor	CALL	BOUND	grandfathered pre-WS-3 inventory (CALL)
graphics\graphics.cpp|0x00755AC0|setSystemMouseCursorPosition	CALL	BOUND	grandfathered pre-WS-3 inventory (CALL)
graphics\graphics.cpp|0x00755D30|setObjectToWorldTransformAndScale	CALL		grandfathered pre-WS-3 inventory (CALL)
graphics\graphics.cpp|0x00759A70|drawExtent	CALL		grandfathered pre-WS-3 inventory (CALL)
graphics\graphics.cpp|0x00764B70|textureListReloadTextures	CALL		grandfathered pre-WS-3 inventory (CALL)
graphics\graphics.cpp|0x01922E60|	DATA		grandfathered pre-WS-3 inventory (DATA)
graphics\graphics.cpp|0x01922E64|	DATA		grandfathered pre-WS-3 inventory (DATA)
graphics\post_processing.cpp|0x0064B500|preSceneRender	CALL	BOUND	grandfathered pre-WS-3 inventory (CALL)
graphics\post_processing.cpp|0x0064B560|postSceneRender	CALL	BOUND	grandfathered pre-WS-3 inventory (CALL)
graphics\shader.cpp|0x00772D60|midPopCell_Call	OTHER		grandfathered pre-WS-3 inventory (OTHER)
graphics\shader.cpp|0x00773E39|start_midPopCell	OTHER		grandfathered pre-WS-3 inventory (OTHER)
graphics\shader.cpp|0x00773E41|return_midPopCell	OTHER		grandfathered pre-WS-3 inventory (OTHER)
misc\audio.cpp|0x00412C20|setMasterVolume	CALL	BOUND	grandfathered pre-WS-3 inventory (CALL)
